SCHOOL,NUMBER OF CANDIDATES,SAT FOR EXAM,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,TOTAL PASSED CANDIDATES,GPA
s0156,77,76,GOVERNMENT,BOYS AND GIRLS,BOARDING,SCIENCE,COMBINED OA,76,2.8838
s0157,,,,,,,,,
s0158,428,427,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,427,2.4161
s0159,,,,,,,,,
s0160,281,281,,,,,,281,2.2811
s0161,,,,,,,,,
s0162,,,,,,,,,
s0163,,,,,,,,,
s0164,18,18,,,,,,18,3.1574
s0165,17,17,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,17,2.0392
s0166,,,,,,,,,
s0167,20,19,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,19,2.9386
s0168,39,39,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,39,2.1709
s0169,,,,,,,,,
s0170,,,,,,,,,
s0171,,,,,,,,,
s0172,,,PRIVATE,BOYS ONLY,BOARDING,,,,
s0173,,,,,,,,,
s0174,26,26,,,,,,26,3.2179
s0175,44,44,,,,,,44,2.0152
s0176,,,,,,,,,
s0177,37,37,,,,,,37,3.1622
s0178,7,7,,,,,,7,3.1667
s0179,,,,,,,,,
s0180,,,,,,,,,
s0181,4,4,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,4,2.8333
s0182,34,33,PRIVATE,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,33,3.0101
s0183,,,,,,,,,
s0184,31,30,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,30,1.6222
s0185,,,,,,,,,
s0186,,,,,,,,,
s0187,,,,,,,,,
s0188,88,88,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,88,2.9242
s0189,85,85,PRIVATE,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,85,1.8216
s0190,16,16,,,,,,16,2.8021
s0191,,,,,,,,,
s0192,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,
s0193,,,,,,,,,
s0194,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,
s0195,,,,,,,,,
s0196,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,
s0197,11,11,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,11,3.6364
s0198,9,9,,,,,,9,2.8519
s0199,,,,,,,,,
s0200,,,,,,,,,
s0201,404,403,,,,,,403,2.4309
s0202,476,476,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,ALEVEL ONLY,476,2.5826
s0203,290,290,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,289,2.9782
s0204,157,156,GOVERNMENT,GIRLS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,156,3.1560
s0205,35,35,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,35,2.7619
s0206,100,100,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,100,2.0217
s0207,18,18,,,,,,18,2.7685
s0208,250,249,,,,,,249,2.7651
s0209,387,386,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,386,2.8614
s0210,60,60,,,,,,60,2.4139
s0211,424,424,,,,,,424,2.8451
s0212,383,380,,,,,,380,2.4254
s0213,242,242,,,,,,242,2.4497
s0214,145,145,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,145,1.6425
s0215,313,312,,,,,,312,2.0422
s0216,438,435,,,,,,435,2.4034
s0217,15,15,,,,,,15,3.1000
s0218,255,253,,,,,,253,2.9150
s0219,398,398,,,,,,397,2.4261
s0220,122,122,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,122,1.9699
s0221,361,361,,,,,,361,2.2410
s0222,193,191,,,,,,190,3.2539
s0223,30,30,,,,,,30,3.1222
s0224,41,41,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,41,1.9472
s0225,,,PRIVATE,GIRLS ONLY,BOARDING,,,,
s0226,,,,,,,,,
s0227,553,549,,,,,,549,2.8063
s0228,386,385,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,ALEVEL ONLY,385,2.6671
s0229,262,262,,,,,,262,2.6724
s0230,365,362,,,,,,362,2.6975
s0231,,,,,,,,,
s0232,,,PRIVATE,GIRLS ONLY,BOARDING,,,,
s0233,286,286,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,286,1.7931
s0234,10,10,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,10,3.5000
s0235,10,10,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,10,2.8167
s0236,,,,,,,,,
s0237,,,PRIVATE,GIRLS ONLY,BOARDING,ARTS,COMBINED OA,,
s0238,,,,,,,,,
s0239,,,PRIVATE,GIRLS ONLY,BOARDING,,,,
s0240,8,8,,,,,,8,3.1458
s0241,28,27,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,27,3.0864
s0242,,,,,,,,,
s0243,,,,,,,,,
s0244,,,,,,,,,
s0245,18,18,,,,,,18,2.6296
s0246,28,26,,,,,,26,3.1795
s0247,10,10,,,,,,10,2.3333
s0248,81,81,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,81,1.9342
s0249,40,40,PRIVATE,GIRLS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,40,2.6333
s0250,,,,,,,,,
s0251,,,,,,,,,
s0252,47,47,,,,,,47,2.9433
s0253,,,,,,,,,
s0254,7,7,,,,,,7,2.6429
s0255,140,140,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,140,2.0845
s0256,40,40,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,40,2.7625
s0257,,,,,,,,,
s0258,,,,,,,,,
s0259,,,,,,,,,
s0260,,,,,,,,,
s0261,,,PRIVATE,GIRLS ONLY,DAY AND BOARDING,ARTS,COMBINED OA,,
s0262,,,PRIVATE,GIRLS ONLY,BOARDING,,,,
s0263,83,83,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,83,2.3173
s0264,82,82,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,82,2.6667
s0265,,,,,,,,,
s0266,6,6,,,,,,6,3.2500
s0267,,,,,,,,,
s0268,,,PRIVATE,GIRLS ONLY,BOARDING,,,,
s0269,,,,,,,,,
s0270,,,,,,,,,
s0271,110,110,,,,,,110,3.0136
s0272,54,53,,,,,,53,2.3931
s0273,,,PRIVATE,GIRLS ONLY,BOARDING,,,,
s0274,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,
s0275,8,8,,,,,,8,2.8958
s0276,323,321,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,ALEVEL ONLY,320,3.0218
s0277,,,PRIVATE,GIRLS ONLY,BOARDING,,,,
s0278,,,,,,,,,
s0279,12,12,,,,,,12,2.4583
s0280,,,,,,,,,
s0281,187,186,,,,,,186,2.3916
s0282,,,,,,,,,
s0283,5,5,PRIVATE,GIRLS ONLY,BOARDING,,,5,2.4333
s0284,34,34,,,,,,34,2.7059
s0285,7,7,,,,,,7,2.8571
s0286,,,PRIVATE,GIRLS ONLY,BOARDING,,,,
s0287,,,,,,,,,
s0288,,,,,,,,,
s0289,,,PRIVATE,GIRLS ONLY,BOARDING,,,,
s0290,,,,,,,,,
s0291,5,5,PRIVATE,BOYS AND GIRLS,BOARDING,,,5,3.5333
s0292,,,,,,,,,
s0293,,,,,,,,,
s0294,,,,,,,,,
s0295,,,,,,,,,
s0296,,,,,,,,,
s0297,,,,,,,,,
s0298,76,76,PRIVATE,GIRLS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,76,1.9561
s0299,178,177,,,,,,177,2.8399
s0300,,,,,,,,,
s0301,,,,,,,,,
s0302,169,169,,,,,,169,2.5266
s0303,,,,,,,,,
s0304,53,53,,,,,,53,3.2673
s0305,29,27,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,27,3.1667
s0306,203,203,,,,,,203,2.7438
s0307,56,55,,,,,,46,3.6051
s0308,65,65,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,65,2.5513
s0309,114,111,,,,,,110,2.4303
s0310,32,32,,,,,,32,1.9479
s0311,,,,,,,,,
s0312,25,25,,,,,,24,3.2000
s0313,81,80,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,80,2.6563
s0314,325,323,,,,,,323,2.7895
s0315,,,,,,,,,
s0316,260,258,,,,,,257,3.0213
s0317,12,12,,,,,,12,2.6528
s0318,,,,,,,,,
s0319,,,,,,,,,
s0320,239,239,,,,,,239,2.3417
s0321,40,36,,,,,,36,3.1806
s0322,,,,,,,,,
s0323,56,55,,,,,,55,2.5485
s0324,234,234,,,,,,234,2.6182
s0325,190,190,,,,,,190,2.9895
s0326,98,98,,,,,,98,2.0561
s0327,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,,
s0328,238,237,,,,,,237,2.5661
s0329,50,46,,,,,,46,2.2210
s0330,166,166,,,,,,166,2.8062
s0331,,,,,,,,,
s0332,291,289,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,289,2.4273
s0333,371,370,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,370,2.7766
s0334,552,551,,,,,,551,2.5369
s0335,14,14,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,13,3.9881
s0336,,,,,,,,,
s0337,,,,,,,,,
s0338,523,523,,,,,,521,2.1667
s0339,222,222,,,,,,222,2.4872
s0340,,,,,,,,,
s0341,127,126,,,,,,126,2.8254
s0342,59,59,PRIVATE,BOYS AND GIRLS,DAY,MIXED,COMBINED OA,59,3.1271
s0343,,,,,,,,,
s0344,,,,,,,,,
s0345,188,187,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,185,3.3877
s0346,38,37,,,,,,34,3.3529
s0347,392,390,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,MIXED,ALEVEL ONLY,388,3.1679
s0348,117,117,,,,,,117,2.3604
s0349,,,,,,,,,
s0350,,,,,,,,,
s0351,383,377,GOVERNMENT,BOYS AND GIRLS,BOARDING,MIXED,ALEVEL ONLY,377,2.5115
s0352,498,498,,,,,,498,2.0994
s0353,14,14,,,,,,14,1.8571
s0354,,,,,,,,,
s0355,35,35,,,,,,35,2.7524
s0356,33,33,,,,,,33,2.7929
s0357,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,
s0358,,,,,,,,,
s0359,213,210,,,,,,210,2.8524
s0360,241,241,,,,,,241,2.7981
s0361,44,40,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,40,2.9583
s0362,,,,,,,,,
s0363,26,26,,,,,,26,2.8654
s0364,474,474,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,474,2.6188
s0365,,,,,,,,,
s0366,,,,,,,,,
s0367,113,111,,,,,,111,1.7432
s0368,103,103,,,,,,103,2.7605
s0369,450,450,,,,,,450,2.5733
s0370,291,291,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,ALEVEL ONLY,291,2.9805
s0371,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s0372,,,,,,,,,
s0373,,,,,,,,,
s0374,,,,,,,,,
s0375,,,,,,,,,
s0376,,,,,,,,,
s0377,,,,,,,,,
s0378,,,,,,,,,
s0379,,,,,,,,,
s0380,42,42,,,,,,42,1.8730
s0381,32,32,,,,,,29,4.0269
s0382,79,77,,,,,,76,3.1996
s0383,112,112,,,,,,111,2.8664
s0384,,,,,,,,,
s0385,66,66,,,,,,56,1.9851
s0386,209,209,,,,,,209,2.5016
s0387,31,30,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,29,2.8391
s0388,82,81,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,81,2.0885
s0389,62,62,,,,,,62,2.3387
s0390,156,156,,,,,,156,3.0417
s0391,43,43,,,,,,43,3.5620
s0392,,,,,,,,,
s0393,,,,,,,,,
s0394,,,,,,,,,
s0395,,,,,,,,,
s0396,,,,,,,,,
s0397,17,17,,,,,,17,2.7941
s0398,,,,,,,,,
s0399,,,,,,,,,
s0400,83,83,,,,,,83,3.0482
s0401,37,37,,,,,,24,3.1597
s0402,,,,,,,,,
s0403,,,,,,,,,
s0404,379,378,,,,,,378,2.6314
s0405,183,181,,,,,,180,2.1361
s0406,,,,,,,,,
s0407,,,,,,,,,
s0408,,,,,,,,,
s0409,60,60,,,,,,60,2.4306
s0410,,,,,,,,,
s0411,,,,,,,,,
s0412,,,,,,,,,
s0413,433,433,,,,,,433,2.5150
s0414,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,
s0415,,,,,,,,,
s0416,170,168,,,,,,152,4.5665
s0417,442,440,,,,,,440,2.8064
s0418,78,77,,,,,,77,2.8095
s0419,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,,
s0420,15,15,,,,,,15,2.8111
s0421,,,,,,,,,
s0422,,,,,,,,,
s0423,,,,,,,,,
s0424,,,,,,,,,
s0425,225,216,,,,,,205,4.3426
s0426,117,115,,,,,,114,2.6696
s0427,288,286,,,,,,285,2.9668
s0428,,,,,,,,,
s0429,61,61,,,,,,60,3.3060
s0430,131,130,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,130,2.6744
s0431,18,18,,,,,,18,3.5185
s0432,26,25,,,,,,24,3.1806
s0433,,,,,,,,,
s0434,,,,,,,,,
s0435,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s0436,82,82,,,,,,82,2.6321
s0437,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,ALEVEL ONLY,,
s0438,,,,,,,,,
s0439,28,28,,,,,,28,2.8810
s0440,165,165,,,,,,161,4.2525
s0441,141,141,,,,,,141,2.6182
s0442,,,,,,,,,
s0443,107,107,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,99,2.5967
s0444,,,,,,,,,
s0445,71,71,,,,,,71,2.8897
s0446,50,50,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,,,50,2.7267
s0447,88,87,,,,,,87,2.1552
s0448,130,129,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,129,2.6576
s0449,134,133,,,,,,133,2.5063
s0450,,,,,,,,,
s0451,,,,,,,,,
s0452,,,,,,,,,
s0453,,,,,,,,,
s0454,,,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,
s0455,17,16,,,,,,16,3.3646
s0456,,,,,,,,,
s0457,78,78,,,,,,78,2.9252
s0458,87,84,,,,,,82,4.2321
s0459,,,,,,,,,
s0460,,,,,,,,,
s0461,26,26,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,26,2.9295
s0462,,,,,,,,,
s0463,,,,,,,,,
s0464,,,,,,,,,
s0465,101,100,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,100,2.3750
s0466,144,144,,,,,,144,1.8241
s0467,5,5,,,,,,5,2.8000
s0468,5,4,,,,,,4,2.2083
s0469,,,,,,,,,
s0470,,,,,,,,,
s0471,47,41,,,,,,41,2.9187
s0472,,,,,,,,,
s0473,33,33,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,33,2.8485
s0474,23,23,,,,,,23,2.8116
s0475,,,,,,,,,
s0476,,,,,,,,,
s0477,,,,,,,,,
s0478,2,2,,,,,,2,2.6667
s0479,,,,,,,,,
s0480,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s0481,,,,,,,,,
s0482,,,,,,,,,
s0483,,,,,,,,,
s0484,31,29,,,,,,29,2.5115
s0485,64,63,,,,,,63,3.1534
s0486,,,,,,,,,
s0487,,,,,,,,,
s0488,147,147,,,,,,147,2.4104
s0489,92,92,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,92,2.7446
s0490,,,,,,,,,
s0491,,,,,,,,,
s0492,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s0493,41,40,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,33,3.0686
s0494,,,,,,,,,
s0495,,,,,,,,,
s0496,172,168,,,,,,165,3.4062
s0497,,,,,,,,,
s0498,,,,,,,,,
s0499,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,
s0500,118,118,,,,,,118,2.6257
s0501,27,25,,,,,,25,2.8733
s0502,,,,,,,,,
s0503,,,,,,,,,
s0504,,,,,,,,,
s0505,,,,,,,,,
s0506,3,3,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,3,1.9444
s0507,,,,,,,,,
s0508,,,,,,,,,
s0509,,,,,,,,,
s0510,,,,,,,,,
s0511,136,136,,,,,,136,2.2181
s0512,,,,,,,,,
s0513,,,PRIVATE,BOYS AND GIRLS,,MIXED,COMBINED OA,,
s0514,12,12,,,,,,12,2.6389
s0515,91,91,,,,,,91,2.4414
s0516,72,72,,,,,,72,2.3194
s0517,88,88,,,,,,88,2.2064
s0518,,,,,,,,,
s0519,,,,,,,,,
s0520,,,,,,,,,
s0521,88,86,,,,,,86,2.9167
s0522,,,,,,,,,
s0523,,,,,,,,,
s0524,138,136,,,,,,136,2.8909
s0525,,,,,,,,,
s0526,188,188,,,,,,188,2.1436
s0527,105,104,,,,,,104,3.0705
s0528,,,,,,,,,
s0529,,,,,,,,,
s0530,246,246,,,,,,246,2.0488
s0531,,,PRIVATE,BOYS AND GIRLS,BOARDING,ARTS,COMBINED OA,,
s0532,,,,,,,,,
s0533,110,109,,,,,,109,2.8379
s0534,80,80,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,80,2.6854
s0535,98,98,,,,,,98,2.7874
s0536,,,,,,,,,
s0537,84,83,,,,,,83,2.6908
s0538,156,155,GOVERNMENT,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,155,2.5516
s0539,298,295,,,,,,294,2.6294
s0540,195,191,,,,,,191,2.6710
s0541,90,89,,,,,,89,2.5393
s0542,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s0543,60,60,,,,,,60,2.7611
s0544,147,146,,,,,,146,3.0685
s0545,,,,,,,,,
s0546,474,469,,,,,,461,2.9939
s0547,91,90,,,,,,90,2.2685
s0548,100,100,,,,,,100,2.5317
s0549,273,273,,,,,,273,2.6795
s0550,201,201,,,,,,201,1.9826
s0551,171,171,GOVERNMENT,BOYS AND GIRLS,,ARTS,COMBINED OA,171,1.8158
s0552,79,79,,,,,,79,3.2722
s0553,,,,,,,,,
s0554,179,177,,,,,,177,2.3785
s0555,81,81,,,,,,81,2.6975
s0556,191,189,,,,,,188,2.3502
s0557,,,,,,,,,
s0558,56,56,,,,,,56,2.6071
s0559,34,34,,,,,,34,2.3284
s0560,187,186,,,,,,186,2.4382
s0561,14,14,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,14,2.9762
s0562,,,,,,,,,
s0563,149,149,,,,,,144,4.0737
s0564,76,75,,,,,,75,3.1489
s0565,,,,,,,,,
s0566,234,228,,,,,,224,3.9240
s0567,,,,,,,,,
s0568,,,,,,,,,
s0569,,,,,,,,,
s0570,,,,,,,,,
s0571,,,,,,,,,
s0572,,,,,,,,,
s0573,,,,,,,,,
s0574,,,,,,,,,
s0575,,,,,,,,,
s0576,,,,,,,,,
s0577,,,,,,,,,
s0578,78,78,PRIVATE,BOYS AND GIRLS,DAY,MIXED,COMBINED OA,49,2.8537
s0579,,,,,,,,,
s0580,133,132,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,132,2.5278
s0581,86,86,,,,,,86,2.9147
s0582,,,,,,,,,
s0583,,,,,,,,,
s0584,11,11,,,,,,11,3.0152
s0585,130,129,,,,,,129,2.8204
s0586,27,27,,,,,,27,1.8210
s0587,,,,,,,,,
s0588,,,,,,,,,
s0589,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,
s0590,33,33,,,,,,33,2.4091
s0591,100,98,,,,,,98,2.4133
s0592,,,,,,,,,
s0593,,,,,,,,,
s0594,,,,,,,,,
s0595,,,,,,,,,
s0596,191,190,,,,,,190,2.3316
s0597,,,,,,,,,
s0598,,,,,,,,,
s0599,,,,,,,,,
s0600,127,126,,,,,,126,1.7143
s0601,70,70,,,,,,70,2.0024
s0602,,,,,,,,,
s0603,,,,,,,,,
s0604,117,117,,,,,,117,2.2350
s0605,,,,,,,,,
s0606,,,,,,,,,
s0607,208,208,,,,,,208,1.9343
s0608,,,,,,,,,
s0609,170,170,,,,,,170,2.9441
s0610,171,171,,,,,,171,3.2008
s0611,312,312,,,,,,312,3.3125
s0612,419,413,,,,,,413,2.4923
s0613,262,262,,,,,,262,2.3969
s0614,134,134,,,,,,134,2.5124
s0615,,,,,,,,,
s0616,118,118,,,,,,118,2.9040
s0617,189,187,,,,,,187,3.0392
s0618,191,191,,,,,,191,2.9677
s0619,,,,,,,,,
s0620,,,,,,,,,
s0621,,,,,,,,,
s0622,26,19,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,19,3.1754
s0623,,,,,,,,,
s0624,,,,,,,,,
s0625,30,30,,,,,,30,2.7111
s0626,,,,,,,,,
s0627,,,,,,,,,
s0628,,,,,,,,,
s0629,162,162,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,162,3.1204
s0630,,,,,,,,,
s0631,,,,,,,,,
s0632,34,33,,,,,,30,3.2688
s0633,101,101,,,,,,101,2.0759
s0634,,,,,,,,,
s0635,125,125,,,,,,125,2.5280
s0636,,,,,,,,,
s0637,,,,,,,,,
s0638,73,73,,,,,,73,2.7671
s0639,110,110,,,,,,110,2.7212
s0640,75,75,,,,,,75,2.0911
s0641,58,58,,,,,,58,2.9598
s0642,,,,,,,,,
s0643,151,151,,,,,,151,1.6954
s0644,,,,,,,,,
s0645,7,6,,,,,,-,--
s0646,,,,,,,,,
s0647,,,,,,,,,
s0648,,,,,,,,,
s0649,,,,,,,,,
s0650,,,,,,,,,
s0651,,,,,,,,,
s0652,75,75,,,,,,75,2.7178
s0653,161,160,,,,,,160,3.0187
s0654,,,,,,,,,
s0655,,,,,,,,,
s0656,,,,,,,,,
s0657,,,,,,,,,
s0658,,,,,,,,,
s0659,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s0660,213,206,,,,,,194,4.2589
s0661,,,,,,,,,
s0662,57,57,,,,,,57,2.8860
s0663,9,9,,,,,,9,2.8704
s0664,,,,,,,,,
s0665,39,39,,,,,,39,3.2051
s0666,,,,,,,,,
s0667,62,62,,,,,,62,1.5403
s0668,243,241,GOVERNMENT,GIRLS ONLY,BOARDING,ARTS,ALEVEL ONLY,241,2.8769
s0669,130,130,,,,,,130,2.7885
s0670,63,63,,,,,,63,2.6931
s0671,37,37,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,37,2.6171
s0672,,,,,,,,,
s0673,313,313,,,,,,313,2.2705
s0674,,,,,,,,,
s0675,70,70,,,,,,70,2.2024
s0676,70,69,,,,,,69,2.1860
s0677,99,99,,,,,,98,2.4422
s0678,,,,,,,,,
s0679,,,,,,,,,
s0680,93,93,,,,,,93,2.5645
s0681,201,199,PRIVATE,BOYS AND GIRLS,BOARDING,ARTS,COMBINED OA,199,2.2253
s0682,16,16,,,,,,16,2.4479
s0683,,,,,,,,,
s0684,,,,,,,,,
s0685,70,70,,,,,,70,2.6143
s0686,179,178,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,178,2.2875
s0687,,,,,,,,,
s0688,20,20,,,,,,20,2.0583
s0689,86,86,,,,,,86,2.3818
s0690,,,,,,,,,
s0691,,,,,,,,,
