school_code,school_name,enlorment,student_teacher_ratio,location,gpa
s0133,MINAKI SECONDARY SCHOOL,404.0,20:1,,2.3275
s0327,MINJA SECONDARY SCHOOL,3.0,19:1,,2.4444
s5145,MIONO  SECONDARY SCHOOL,242.0,20:1,,2.7089
s0804,MVUMI SECONDARY SCHOOL,36.0,14:1,,2.7667
s2191,MWANAMWEMA SHEIN SECONDARY SCHOOL,73.0,23:1,,2.0776
s1442,MWANDET SECONDARY SCHOOL,68.0,26:1,,1.7451
s2655,MARANATHA SECONDARY SCHOOL,33.0,21:1,,2.0052
s0333,MWANZA SECONDARY SCHOOL,433.0,20:1,,2.3345
s0388,MARANGU SECONDARY SCHOOL,125.0,17:1,,2.3965
s4207,MARIA DE MATTIAS SECONDARY SCHOOL,53.0,12:1,,2.478
s4213,MARIAN BOYS'  SECONDARY SCHOOL,77.0,14:1,,1.5476
s0248,MARIAN GIRLS' SECONDARY SCHOOL,71.0,13:1,,1.946
s0561,MONTFORT SECONDARY SCHOOL,4.0,16:1,,1.9583
s2211,MWILAMVYA SECONDARY SCHOOL,41.0,10:1,,2.5203
s0332,MOROGORO SECONDARY SCHOOL,389.0,18:1,,2.1805
s0197,MATANGINI ISLAMIC SEMINARY,10.0,20:1,,2.4667
s0130,MAUA SEMINARY,58.0,10:1,,1.8509
s0228,MPANDA GIRLS' SECONDARY SCHOOL,397.0,14:1,,2.9932
s0140,MZUMBE SECONDARY SCHOOL,173.0,13:1,,1.3657
s0551,NACHINGWEA SECONDARY SCHOOL,155.0,35:1,,1.6872
s4131,NYANZA ADVENTIST SECONDARY SCHOOL,4.0,13:1,,3.4583
s0909,NAZARENE SECONDARY SCHOOL,135.0,17:1,,2.2323
s1284,NORTHERN HIGHLANDS SECONDARY SCHOOL,17.0,15:1,,2.6563
s0146,NYEGEZI SEMINARY,16.0,16:1,,2.875
s3811,OVERLAND SECONDARY SCHOOL,7.0,13:1,,3.0
s1888,PATRICK MISSION SECONDARY SCHOOL,111.0,13:1,,2.0152
s3838,PEACE HOUSE SECONDARY SCHOOL,63.0,16:1,,2.7984
s4624,PREMIER GIRLS' SECONDARY SCHOOL,37.0,15:1,,2.7207
s0867,PANDAHILL SECONDARY SCHOOL,446.0,17:1,,2.2142
s1434,PIUS SECONDARY SCHOOL,7.0,20:1,,3.7381
s5377,ROHILA SECONDARY SCHOOL,5.0,13:1,,3.1667
s0751,RUHUWIKO SECONDARY SCHOOL,282.0,26:1,,2.1922
s0692,ROSMINI SECONDARY SCHOOL,34.0,17:1,,2.4412
s0448,SADANI  SECONDARY SCHOOL,148.0,26:1,,2.4223
s0150,SAME SECONDARY SCHOOL,459.0,24:1,,2.7454
s0234,ST. LUISE MBINGA GIRLS' SECONDARY SCHOOL,11.0,17:1,,3.2121
s5164,ST. MARCUS SECONDARY SCHOOL,40.0,13:1,,1.9125
s4569,ST. MARIE EUGENIE SECONDARY SCHOOL,52.0,15:1,,2.5449
s0361,SINGE SECONDARY SCHOOL,40.0,15:1,,2.3465
s3646,ST. MARY'S DULUTI SECONDARY SCHOOL,16.0,15:1,,2.6146
s4827,ST. PETER CLAVER SECONDARY SCHOOL,125.0,18:1,,2.276
s4039,ST. THERESA OF THE CHILD JESUS SECONDARY SCHOOL,9.0,16:1,,2.7222
s0534,ST.ANTHONY'S SECONDARY SCHOOL,81.0,21:1,,2.6337
s0168,SANU SEMINARY,32.0,13:1,,2.914
s4692,ST.JOSEPH'S CATHEDRAL SECONDARY SCHOOL,205.0,11:1,,2.3244
s4459,ST.JUDE'S  SECONDARY SCHOOL,201.0,10:1,,1.9183
s1187,ST.MARY GORETI SECONDARY SCHOOL,322.0,22:1,,2.2877
s1522,SCOLASTICA SECONDARY SCHOOL,79.0,12:1,,2.5105
s0151,SENGEREMA SECONDARY SCHOOL,587.0,24:1,,2.2929
s0233,ST.MARY'S MAZINDE JUU SECONDARY SCHOOL,344.0,11:1,,1.8023
s0342,SHAABAN ROBERT SECONDARY SCHOOL,72.0,20:1,,3.1974
s0154,ST.PETER'S SEMINARY,7.0,12:1,,1.9048
s0489,SUJI SECONDARY SCHOOL,75.0,13:1,,2.7333
s5130,SHAMSIYE BOYS' SECONDARY SCHOOL,40.0,12:1,,2.0583
s5184,ST AUGUSTINE-TAGASTE SECONDARY SCHOOL,104.0,13:1,,2.5497
s4405,ST. AMEDEUS SECONDARY SCHOOL,110.0,13:1,,3.0606
s0255,ST. CHRISTINA GIRLS' SECONDARY SCHOOL,148.0,10:1,,1.9399
s1141,SWILLA SECONDARY SCHOOL,2.0,14:1,,1.75
s4556,ST. CLARA SECONDARY SCHOOL,19.0,13:1,,2.0088
s0220,TABORA GIRLS' SECONDARY SCHOOL,109.0,14:1,,1.757
s1604,THOMAS MORE MACHRINA SECONDARY SCHOOL,40.0,10:1,,2.3542
s0347,TAMBAZA SECONDARY SCHOOL,458.0,15:1,,3.2818
s0156,TANGA TECHNICAL SECONDARY SCHOOL,140.0,16:1,,2.6311
s0158,TOSAMAGANGA SECONDARY SCHOOL,493.0,20:1,,2.3992
s2499,TUSIIME SECONDARY SCHOOL,88.0,14:1,,2.2235
s1198,TANZANIA ADVENTIST SECONDARY SCHOOL,19.0,19:1,,2.3158
s0578,TAQWA SECONDARY SCHOOL,83.0,12:1,,2.9797
s0671,UBUNGO ISLAMIC HIGH SCHOOL,42.0,14:1,,2.7544
s3905,UWATA SECONDARY SCHOOL,94.0,17:1,,1.6826
s0430,UWEMBA SECONDARY SCHOOL,149.0,15:1,,2.4038
s0165,URU SEMINARY,27.0,11:1,,2.3025
s0345,USAGARA SECONDARY SCHOOL,190.0,20:1,,2.5053
s0538,VWAWA SECONDARY SCHOOL,156.0,17:1,,2.3957
s0263,VISITATION GIRLS' SECONDARY SCHOOL,74.0,14:1,,2.3941
s3885,WENDA HIGH SCHOOL,91.0,17:1,,2.661
s4014,WINNING SPIRIT SECONDARY SCHOOL,27.0,12:1,,3.4074
s5000,WAMA-NAKAYAMA SECONDARY SCHOOL,61.0,11:1,,2.4016
s4087,WIZA SECONDARY SCHOOL,17.0,10:1,,2.7745
s1474,WHITE LAKE SECONDARY SCHOOL,23.0,16:1,,2.0797
s2335,YOHANNES SECONDARY SCHOOL,28.0,20:1,,2.1131
s1251,ZIBA SECONDARY SCHOOL,198.0,26:1,,1.6182
