school_code,school_name,is_private_center,region,gpa,grade,passed_candidates,regist,absent,sat,withheld,no-ca,clean,div_i,div_ii,div_iii,div_iv,div_0,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO
s0710,BINZA SECONDARY SCHOOL,False,SIMIYU,2.6455,,126.0,126.0,0.0,126.0,0.0,0.0,126.0,44.0,57.0,25.0,0.0,0.0,,,
s0305,BULUBA SECONDARY SCHOOL,False,SHINYANGA,3.2981,,51.0,52.0,0.0,52.0,0.0,0.0,52.0,3.0,27.0,19.0,2.0,1.0,370,23,16:1
p0104,BWIRU BOYS' SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p0710,BINZA SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p0305,BULUBA SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s0202,BWIRU GIRLS' SECONDARY SCHOOL,False,MWANZA,2.414,,438.0,438.0,0.0,438.0,0.0,0.0,438.0,212.0,182.0,44.0,0.0,0.0,800,40,20:1
s4619,CALL AND VISION SECONDARY SCHOOL,False,MTWARA,2.8889,,15.0,15.0,0.0,15.0,0.0,0.0,15.0,3.0,8.0,4.0,0.0,0.0,340,25,14:1
s5150,CHASASA SECONDARY SCHOOL,False,KASKAZINI PEMBA,2.6396,,74.0,75.0,0.0,75.0,1.0,0.0,74.0,27.0,34.0,13.0,0.0,0.0,,,
s0972,CHILONWA SECONDARY SCHOOL,False,DODOMA,1.9877,,27.0,27.0,0.0,27.0,0.0,0.0,27.0,22.0,5.0,0.0,0.0,0.0,,,
p4894,CANAAN HIGH SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p5150,CHASASA SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s1552,CHISENGA SECONDARY SCHOOL,False,RUKWA,2.7292,,88.0,88.0,0.0,88.0,0.0,0.0,88.0,13.0,71.0,4.0,0.0,0.0,,,
s4894,CANAAN SECONDARY SCHOOL,False,SONGWE,2.2372,,52.0,52.0,0.0,52.0,0.0,0.0,52.0,31.0,21.0,0.0,0.0,0.0,,,
s0686,CHATO SECONDARY SCHOOL,False,GEITA,2.3349,,211.0,211.0,0.0,211.0,0.0,0.0,211.0,114.0,84.0,13.0,0.0,0.0,1042,41,25:1
p6121,CHISUNGA OPEN SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s2325,CANOSSA SECONDARY SCHOOL,False,DAR ES SALAAM,1.7984,,167.0,167.0,0.0,167.0,0.0,0.0,167.0,147.0,19.0,1.0,0.0,0.0,680,50,14:1
p0686,CHATO SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s6789,CHISUNGA SECONDARY SCHOOL,False,SONGWE,2.4861,,24.0,28.0,2.0,26.0,2.0,0.0,24.0,11.0,10.0,3.0,0.0,0.0,,,
s2469,CELINA KOMBANI SECONDARY SCHOOL,False,MOROGORO,2.6292,,129.0,129.0,0.0,129.0,0.0,0.0,129.0,36.0,84.0,9.0,0.0,0.0,,,
s0105,CHIDYA SECONDARY SCHOOL,False,MTWARA,2.3932,,220.0,222.0,2.0,220.0,0.0,0.0,220.0,113.0,86.0,20.0,1.0,0.0,,,
s1338,CHIUNGUTWA SECONDARY SCHOOL,False,MTWARA,2.1807,,107.0,107.0,0.0,107.0,0.0,0.0,107.0,67.0,40.0,0.0,0.0,0.0,,,
s2426,CHAMAZI ISLAMIC SEMINARY,False,DAR ES SALAAM,2.1111,,6.0,6.0,0.0,6.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,,,
s1013,CHIEF DODO DAY SECONDARY SCHOOL,False,MANYARA,3.0813,,84.0,84.0,0.0,84.0,0.0,0.0,84.0,11.0,44.0,29.0,0.0,0.0,,,
s0419,CHOME SECONDARY SCHOOL,False,KILIMANJARO,1.9792,,8.0,8.0,0.0,8.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,300,17,18:1
s1027,CHAMWINO SECONDARY SCHOOL,False,DODOMA,2.6684,,94.0,94.0,0.0,94.0,0.0,0.0,94.0,35.0,40.0,19.0,0.0,0.0,,,
s0281,CHIEF IHUNYO SECONDARY SCHOOL,False,MARA,2.1694,,244.0,244.0,0.0,244.0,0.0,0.0,244.0,165.0,78.0,1.0,0.0,0.0,,,
p0419,CHOME SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s1578,CHANGARAWE SECONDARY SCHOOL,False,IRINGA,2.4744,,163.0,163.0,0.0,163.0,0.0,0.0,163.0,69.0,83.0,11.0,0.0,0.0,,,
s1610,CHIEF KIDULILE SECONDARY SCHOOL,False,NJOMBE,2.2694,,60.0,60.0,0.0,60.0,0.0,0.0,60.0,34.0,26.0,0.0,0.0,0.0,,,
s1174,COASTAL SECONDARY SCHOOL,False,TANGA,,,,57.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
s1011,CHANG'OMBE SECONDARY SCHOOL,False,DAR ES SALAAM,2.4304,,79.0,79.0,0.0,79.0,0.0,0.0,79.0,34.0,42.0,3.0,0.0,0.0,,,
p1610,CHIEF KIDULILE SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s0174,CONSOLATA SEMINARY,False,IRINGA,3.3043,,23.0,23.0,0.0,23.0,0.0,0.0,23.0,2.0,10.0,11.0,0.0,0.0,,,
s0420,CHANJALE SEMINARY,False,KILIMANJARO,2.5432,,27.0,28.0,1.0,27.0,0.0,0.0,27.0,9.0,16.0,2.0,0.0,0.0,,,
s1122,CHIKANAMLILO SECONDARY SCHOOL,False,SONGWE,3.1034,,29.0,30.0,1.0,29.0,0.0,0.0,29.0,3.0,16.0,10.0,0.0,0.0,,,
s4746,CORNERSTONE LEADERSHIP SECONDARY SCHOOL,False,ARUSHA,2.5515,,55.0,55.0,0.0,55.0,0.0,0.0,55.0,21.0,27.0,7.0,0.0,0.0,,,
s1240,DAKAMA SECONDARY SCHOOL,False,SHINYANGA,1.9222,,135.0,136.0,1.0,135.0,0.0,0.0,135.0,112.0,22.0,1.0,0.0,0.0,,,
s6208,DINECHA SECONDARY SCHOOL,False,MTWARA,2.0104,,48.0,48.0,0.0,48.0,0.0,0.0,48.0,38.0,9.0,1.0,0.0,0.0,,,
s0883,DONBOSCO-DIDIA SECONDARY SCHOOL,False,SHINYANGA,3.2971,,23.0,23.0,0.0,23.0,0.0,0.0,23.0,2.0,9.0,11.0,1.0,0.0,620,50,12:1
p1240,DAKAMA SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s5935,DKT AMANI A KARUME SECONDARY SCHOOL,False,KASKAZINI PEMBA,3.2167,,20.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,13.0,7.0,0.0,0.0,,,
s6064,DR. JOHN POMBE MAGUFULI (U) SECONDARY SCHOOL,False,MJINI MAGHARIBI,3.2005,,217.0,220.0,3.0,217.0,0.0,0.0,217.0,15.0,105.0,97.0,0.0,0.0,,,
s0668,DAKAWA HIGH SCHOOL,False,MOROGORO,2.572,,220.0,224.0,4.0,220.0,0.0,0.0,220.0,72.0,134.0,14.0,0.0,0.0,420,30,14:1
s5931,DKT SALMINI AMOUR JUMA SECONDARY SCHOOL,False,MJINI MAGHARIBI,3.4567,,180.0,182.0,1.0,181.0,0.0,0.0,181.0,5.0,71.0,101.0,3.0,1.0,,,
