school_code,prev_sat,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,prev_gpa,gpa,sat,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO,student_teacher_ratio
s4340,30.0,,,,,,2.5222,2.7235,44.0,,,,
s4351,68.0,PRIVATE,BOYS AND GIRLS,BOARDING,,,2.7083,2.4317,64.0,400.0,40.0,10:1,10.0
s4379,86.0,,,,,,2.0136,2.0976,82.0,,,,
s4382,68.0,,,,,,2.5074,1.9477,102.0,,,,
s4405,77.0,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,2.7446,3.0606,110.0,600.0,45.0,13:1,13.333333333333334
s4416,73.0,,,,,,1.895,2.0101,200.0,,,,
s4419,488.0,,,,,,2.5622,2.3671,518.0,,,,
s4459,210.0,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,2.1746,1.9183,200.0,600.0,60.0,10:1,10.0
s4472,24.0,,,,,,3.1458,2.8013,26.0,,,,
s4476,15.0,,,,,,3.2111,2.6905,22.0,,,,
s4502,96.0,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,3.6546,3.2083,29.0,300.0,30.0,10:1,10.0
s4514,31.0,,,,,,3.2366,3.3,35.0,,,,
s4515,9.0,,,,,,1.7963,2.1795,13.0,,,,
s4516,6.0,,,,,,2.1667,2.4583,24.0,,,,
s4534,146.0,,,,,,2.8493,2.5994,171.0,,,,
s4535,144.0,,,,,,2.4583,2.4863,158.0,,,,
s4554,141.0,,,,,,2.1123,2.0423,122.0,,,,
s4555,36.0,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,3.2037,3.5524,35.0,200.0,16.0,13:1,12.5
s4565,25.0,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,2.3467,2.4636,87.0,300.0,30.0,10:1,10.0
s4569,51.0,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,2.5621,2.5449,52.0,450.0,30.0,15:1,15.0
s4575,39.0,,,,,,2.3547,2.4249,71.0,,,,
s4593,11.0,,,,,,2.7727,2.25,6.0,,,,
s4605,185.0,,,,,,2.0712,2.3097,176.0,,,,
s4624,40.0,PRIVATE,GIRLS ONLY,BOARDING,ARTS,COMBINED OA,2.4292,2.7207,37.0,300.0,20.0,15:1,15.0
s4628,30.0,PRIVATE,BOYS AND GIRLS,BOARDING,ARTS,COMBINED OA,2.3278,2.0931,35.0,460.0,35.0,13:1,13.142857142857142
s4631,106.0,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,2.2374,2.0988,162.0,400.0,30.0,13:1,13.333333333333334
s4645,10.0,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,2.7833,2.3611,7.0,466.0,35.0,13:1,13.314285714285715
s4646,103.0,,,,,,2.4838,2.5055,61.0,,,,
s4661,18.0,,,,,,2.3333,2.5185,10.0,,,,
s4692,230.0,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,ALEVEL ONLY,2.242,2.3244,205.0,450.0,40.0,11:1,11.25
s4735,66.0,,,,,,2.4217,2.4725,85.0,,,,
s4746,56.0,,,,,,2.628,2.5515,55.0,,,,
s4759,36.0,,,,,,2.537,2.2925,53.0,,,,
s4780,110.0,,,,,,2.5167,2.2325,81.0,,,,
s4785,61.0,,,,,,2.2568,1.9529,85.0,,,,
s4797,13.0,,,,,,2.9359,3.027,37.0,,,,
s4799,5.0,,,,,,2.2,2.5952,7.0,,,,
s4803,46.0,,,,,,2.6963,3.0222,45.0,,,,
s4811,16.0,,,,,,2.6146,2.15,40.0,,,,
s4816,116.0,,,,,,2.1868,2.1333,120.0,,,,
s4827,143.0,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,2.3217,2.276,125.0,800.0,45.0,18:1,17.77777777777778
s4836,17.0,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,3.2843,2.9444,9.0,500.0,30.0,17:1,16.666666666666668
s4854,64.0,,,,,,2.5339,2.5776,73.0,,,,
s4856,24.0,,,,,,2.4375,2.9571,37.0,,,,
s4861,106.0,,,,,,3.2704,2.3954,137.0,,,,
s4862,45.0,,,,,,2.6111,2.3438,16.0,,,,
s4875,54.0,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,2.2253,2.7993,58.0,400.0,40.0,10:1,10.0
s4894,59.0,,,,,,2.4266,2.2372,52.0,,,,
