SCHOOL,NUMBER OF CANDIDATES,SAT FOR EXAM,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,N,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO,GPA,1,7,3,8,9,6,4,2,5
s0233,286,286,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,500,45,11:1,1.7931,,,,,,,,,0
s0234,10,10,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,322,19,17:1,3.5000,,,2,,,,,,
s0235,10,10,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,600,45,13:1,2.8167,,,,,,0,,,
s0236,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0237,,,PRIVATE,GIRLS ONLY,BOARDING,ARTS,COMBINED OA,,420,25,17:1,,,,,,,,2,,
s0238,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0239,,,PRIVATE,GIRLS ONLY,BOARDING,,,,350,28,13:1,,,,5,,,,,,
s0240,8,8,,,,,,o,Not Available,Not Available,Not Available,3.1458,,,,,,,,,
s0241,28,27,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,500,40,13:1,3.0864,,,,,,,,,0
s0242,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0243,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0244,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0245,18,18,,,,,,o,Not Available,Not Available,Not Available,2.6296,,,,,,,,,
s0246,28,26,,,,,,o,Not Available,Not Available,Not Available,3.1795,,,,,,,,,
s0247,10,10,,,,,,o,Not Available,Not Available,Not Available,2.3333,,,,,,,,,
s0248,81,81,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,880,70,13:1,1.9342,,,,8,,,,,
s0249,40,40,PRIVATE,GIRLS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,,500,30,17:1,2.6333,,,,,,,,,0
s0250,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0251,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0252,47,47,,,,,,o,Not Available,Not Available,Not Available,2.9433,,,,,,,,,
s0253,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0254,7,7,,,,,,o,Not Available,Not Available,Not Available,2.6429,,,,,,,,,
s0255,140,140,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,420,43,10:1,2.0845,,,,,,,2,,
s0256,40,40,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,280,22,13:1,2.7625,,,,,,,,8,
s0257,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0258,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0259,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0260,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0261,,,PRIVATE,GIRLS ONLY,DAY AND BOARDING,ARTS,COMBINED OA,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0262,,,PRIVATE,GIRLS ONLY,BOARDING,,,,320,30,11:1,,,,2,,,,,,
s0263,83,83,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,480,35,14:1,2.3173,,,,,,,8,,
s0264,82,82,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,600,37,16:1,2.6667,,,,,,0,,,
s0265,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0266,6,6,,,,,,o,Not Available,Not Available,Not Available,3.2500,,,,,,,,,
s0267,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0268,,,PRIVATE,GIRLS ONLY,BOARDING,,,,500,32,16:1,,,,,,,,,,0
s0269,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0270,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0271,110,110,,,,,,o,Not Available,Not Available,Not Available,3.0136,,,,,,,,,
s0272,54,53,,,,,,o,Not Available,Not Available,Not Available,2.3931,,,,,,,,,
s0273,,,PRIVATE,GIRLS ONLY,BOARDING,,,,300,20,15:1,,,,0,,,,,,
s0274,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0275,8,8,,,,,,o,Not Available,Not Available,Not Available,2.8958,,,,,,,,,
s0276,323,321,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,ALEVEL ONLY,,700,25,28:1,3.0218,,0,,,,,,,
s0277,,,PRIVATE,GIRLS ONLY,BOARDING,,,,320,25,13:1,,,,2,,,,,,
s0278,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0279,12,12,,,,,,o,Not Available,Not Available,Not Available,2.4583,,,,,,,,,
s0280,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0281,187,186,,,,,,o,Not Available,Not Available,Not Available,2.3916,,,,,,,,,
s0282,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0283,5,5,PRIVATE,GIRLS ONLY,BOARDING,,,,280,25,11:1,2.4333,,,,,,,,8,
s0284,34,34,,,,,,o,Not Available,Not Available,Not Available,2.7059,,,,,,,,,
s0285,7,7,,,,,,o,Not Available,Not Available,Not Available,2.8571,,,,,,,,,
s0286,,,PRIVATE,GIRLS ONLY,BOARDING,,,,330,30,11:1,,,,3,,,,,,
s0287,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0288,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0289,,,PRIVATE,GIRLS ONLY,BOARDING,,,,380,30,13:1,,,,8,,,,,,
s0290,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0291,5,5,PRIVATE,BOYS AND GIRLS,BOARDING,,,,200,18,11:1,3.5333,,,,,,,,0,
s0292,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0293,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0294,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0295,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0296,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0297,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0298,76,76,PRIVATE,GIRLS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,,325,30,11:1,1.9561,,,2,,,,,,
s0299,178,177,,,,,,o,Not Available,Not Available,Not Available,2.8399,,,,,,,,,
