school_code,school_name,is_private_center,region,gpa,grade,passed_candidates,regist,absent,sat,withheld,no-ca,clean,div_i,div_ii,div_iii,div_iv,div_0,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO
s2325,CANOSSA SECONDARY SCHOOL,False,DAR ES SALAAM,1.7426,,136.0,136.0,0.0,136.0,0.0,0.0,136.0,126.0,10.0,0.0,0.0,0.0,680,50,14:1
s0686,CHATO SECONDARY SCHOOL,False,GEITA,2.2875,,178.0,179.0,1.0,178.0,0.0,0.0,178.0,101.0,72.0,5.0,0.0,0.0,1042,41,25:1
s2469,CELINA KOMBANI SECONDARY SCHOOL,False,MOROGORO,3.1121,,58.0,58.0,0.0,58.0,0.0,0.0,58.0,4.0,33.0,21.0,0.0,0.0,,,
s1338,CHIUNGUTWA SECONDARY SCHOOL,False,MTWARA,2.3224,,122.0,123.0,1.0,122.0,0.0,0.0,122.0,64.0,57.0,1.0,0.0,0.0,,,
s1027,CHAMWINO SECONDARY SCHOOL,False,DODOMA,3.1011,,122.0,123.0,1.0,122.0,0.0,0.0,122.0,16.0,59.0,47.0,0.0,0.0,,,
s0105,CHIDYA SECONDARY SCHOOL,False,MTWARA,2.1617,,169.0,169.0,0.0,169.0,0.0,0.0,169.0,110.0,54.0,5.0,0.0,0.0,,,
s1578,CHANGARAWE SECONDARY SCHOOL,False,IRINGA,2.4186,,129.0,129.0,0.0,129.0,0.0,0.0,129.0,58.0,66.0,5.0,0.0,0.0,,,
s0281,CHIEF IHUNYO SECONDARY SCHOOL,False,MARA,2.3916,,186.0,187.0,1.0,186.0,0.0,0.0,186.0,92.0,86.0,8.0,0.0,0.0,,,
s1174,COASTAL SECONDARY SCHOOL,False,TANGA,2.3061,,49.0,49.0,0.0,49.0,0.0,0.0,49.0,25.0,23.0,1.0,0.0,0.0,,,
s1011,CHANG'OMBE SECONDARY SCHOOL,False,DAR ES SALAAM,2.8184,,78.0,78.0,0.0,78.0,0.0,0.0,78.0,23.0,36.0,19.0,0.0,0.0,,,
s1610,CHIEF KIDULILE SECONDARY SCHOOL,False,NJOMBE,2.3391,,115.0,117.0,2.0,115.0,0.0,0.0,115.0,62.0,46.0,7.0,0.0,0.0,,,
s0174,CONSOLATA SEMINARY,False,IRINGA,3.2179,,26.0,26.0,0.0,26.0,0.0,0.0,26.0,3.0,10.0,13.0,0.0,0.0,,,
s0420,CHANJALE SEMINARY,False,KILIMANJARO,2.8111,,15.0,15.0,0.0,15.0,0.0,0.0,15.0,3.0,9.0,3.0,0.0,0.0,,,
s1122,CHIKANAMLILO SECONDARY SCHOOL,False,SONGWE,2.9402,,39.0,39.0,0.0,39.0,0.0,0.0,39.0,6.0,23.0,10.0,0.0,0.0,,,
s4746,CORNERSTONE LEADERSHIP SECONDARY SCHOOL,False,ARUSHA,2.628,,56.0,56.0,0.0,56.0,0.0,0.0,56.0,19.0,30.0,7.0,0.0,0.0,,,
s1240,DAKAMA SECONDARY SCHOOL,False,SHINYANGA,2.5355,,141.0,141.0,0.0,141.0,0.0,0.0,141.0,53.0,74.0,14.0,0.0,0.0,,,
s0883,DONBOSCO-DIDIA SECONDARY SCHOOL,False,SHINYANGA,3.3712,,22.0,22.0,0.0,22.0,0.0,0.0,22.0,2.0,8.0,12.0,0.0,0.0,620,50,12:1
s5935,DKT AMANI A KARUME SECONDARY SCHOOL,False,KASKAZINI PEMBA,3.1667,,33.0,33.0,0.0,33.0,0.0,0.0,33.0,3.0,18.0,12.0,0.0,0.0,,,
s6064,DR. JOHN POMBE MAGUFULI (U) SECONDARY SCHOOL,False,MJINI MAGHARIBI,2.8938,,146.0,148.0,2.0,146.0,0.0,0.0,146.0,29.0,77.0,40.0,0.0,0.0,,,
s0668,DAKAWA HIGH SCHOOL,False,MOROGORO,2.8769,,241.0,243.0,2.0,241.0,0.0,0.0,241.0,38.0,157.0,46.0,0.0,0.0,420,30,14:1
s5931,DKT SALMINI AMOUR JUMA SECONDARY SCHOOL,False,MJINI MAGHARIBI,3.5169,,69.0,69.0,0.0,69.0,0.0,0.0,69.0,2.0,22.0,43.0,2.0,0.0,,,
s0947,DR. OLSEN SECONDARY SCHOOL,False,MANYARA,2.7389,,60.0,60.0,0.0,60.0,0.0,0.0,60.0,16.0,35.0,9.0,0.0,0.0,,,
s0643,DAREDA SECONDARY SCHOOL,False,MANYARA,1.6954,,151.0,151.0,0.0,151.0,0.0,0.0,151.0,147.0,4.0,0.0,0.0,0.0,,,
s6278,DKT. ALI MOHAMED SHEIN SECONDARY SCHOOL,False,MJINI MAGHARIBI,3.2946,,142.0,145.0,3.0,142.0,0.0,0.0,142.0,14.0,54.0,71.0,3.0,0.0,,,
s5934,DR. SALIM AHMED SALIM SECONDARY SCHOOL,False,KUSINI PEMBA,2.6474,,52.0,53.0,0.0,53.0,1.0,0.0,52.0,8.0,44.0,0.0,0.0,0.0,,,
s3535,DEBRABANT SECONDARY SCHOOL,False,DAR ES SALAAM,3.0833,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,,,
s0307,DODOMA CENTRAL SECONDARY SCHOOL,False,DODOMA,3.6051,,46.0,56.0,1.0,55.0,9.0,0.0,46.0,2.0,11.0,30.0,3.0,0.0,,,
s2647,DENIS SECONDARY SCHOOL,False,MOROGORO,2.9857,,35.0,35.0,0.0,35.0,0.0,0.0,35.0,1.0,28.0,6.0,0.0,0.0,,,
s0106,DUNG'UNYI SEMINARY,False,SINGIDA,2.7917,,8.0,8.0,0.0,8.0,0.0,0.0,8.0,2.0,4.0,2.0,0.0,0.0,,,
s0978,DIGODIGO SECONDARY SCHOOL,False,ARUSHA,2.134,,51.0,52.0,1.0,51.0,0.0,0.0,51.0,37.0,12.0,2.0,0.0,0.0,,,
s0306,DODOMA SECONDARY SCHOOL,False,DODOMA,2.7438,,203.0,203.0,0.0,203.0,0.0,0.0,203.0,56.0,110.0,37.0,0.0,0.0,,,
s0970,DUTWA SECONDARY SCHOOL,False,SIMIYU,2.4657,,102.0,102.0,0.0,102.0,0.0,0.0,102.0,53.0,30.0,19.0,0.0,0.0,,,
s4236,DINOBB  HIGH SCHOOL,False,MBEYA,3.0556,,21.0,21.0,0.0,21.0,0.0,0.0,21.0,3.0,11.0,7.0,0.0,0.0,,,
s2354,EAGLES SECONDARY SCHOOL,False,PWANI,2.6296,,9.0,9.0,0.0,9.0,0.0,0.0,9.0,4.0,3.0,2.0,0.0,0.0,435,30,15:1
s5782,EFFORTS SECONDARY SCHOOL,False,PWANI,2.4917,,20.0,20.0,0.0,20.0,0.0,0.0,20.0,8.0,10.0,2.0,0.0,0.0,,,
s0308,ENABOISHU SECONDARY SCHOOL,False,ARUSHA,2.5513,,65.0,65.0,0.0,65.0,0.0,0.0,65.0,22.0,39.0,4.0,0.0,0.0,810,50,16:1
s5663,ELPAS SECONDARY SCHOOL,False,MWANZA,3.1389,,6.0,9.0,2.0,7.0,1.0,0.0,6.0,1.0,2.0,3.0,0.0,0.0,,,
s0698,ECKERNFORDE SECONDARY SCHOOL,False,TANGA,3.3175,,21.0,21.0,0.0,21.0,0.0,0.0,21.0,1.0,10.0,10.0,0.0,0.0,,,
s5233,EMANUEL NCHIMBI SECONDARY SCHOOL,False,RUVUMA,2.0972,,96.0,97.0,1.0,96.0,0.0,0.0,96.0,70.0,26.0,0.0,0.0,0.0,,,
s0689,ENDASAK SECONDARY SCHOOL,False,MANYARA,2.3818,,86.0,86.0,0.0,86.0,0.0,0.0,86.0,43.0,36.0,7.0,0.0,0.0,,,
s0629,EDMUND-RICE-SINON SECONDARY SCHOOL,False,ARUSHA,3.1204,,162.0,162.0,0.0,162.0,0.0,0.0,162.0,24.0,72.0,66.0,0.0,0.0,500,30,17:1
s1159,EMBARWAY SECONDARY SCHOOL,False,ARUSHA,2.0412,,162.0,163.0,1.0,162.0,0.0,0.0,162.0,120.0,42.0,0.0,0.0,0.0,,,
s1215,ENGUSERO SECONDARY SCHOOL,False,MANYARA,2.1812,,92.0,93.0,1.0,92.0,0.0,0.0,92.0,62.0,29.0,1.0,0.0,0.0,,,
s4861,EMBOREET SECONDARY SCHOOL,False,MANYARA,3.2704,,106.0,106.0,0.0,106.0,0.0,0.0,106.0,9.0,44.0,51.0,2.0,0.0,,,
s1549,ENGUTOTO SECONDARY SCHOOL,False,ARUSHA,2.6441,,74.0,76.0,2.0,74.0,0.0,0.0,74.0,20.0,48.0,6.0,0.0,0.0,,,
s1450,EFATHA SEMINARY,False,PWANI,2.4037,,45.0,46.0,1.0,45.0,0.0,0.0,45.0,19.0,25.0,1.0,0.0,0.0,300,20,15:1
s0279,EMMABERG GIRLS' SECONDARY SCHOOL,False,NJOMBE,2.4583,,12.0,12.0,0.0,12.0,0.0,0.0,12.0,5.0,7.0,0.0,0.0,0.0,,,
s5151,FARAJA SECONDARY SCHOOL,False,MJINI MAGHARIBI,3.2013,,101.0,101.0,0.0,101.0,0.0,0.0,101.0,2.0,61.0,38.0,0.0,0.0,,,
